age,gender,tenure_months,contract_type,monthly_charges,total_charges,internet_service,payment_method,support_calls,late_payments,online_security,tech_support,streaming_service,senior_citizen,family_members,churn
74,Male,48,One year,108.01,3068.79,DSL,Credit card,7,1,Yes,No,Yes,0,3,0
19,Female,63,Month-to-month,91.78,7639.1,Fiber optic,Mailed check,4,0,Yes,No,Yes,1,5,0
32,Female,40,Two year,143.83,1398.19,DSL,Mailed check,0,1,Yes,No,Yes,0,3,0
28,Female,15,Month-to-month,85.93,5682.58,DSL,Credit card,0,0,No,No,No,0,4,0
25,Male,6,Month-to-month,78.42,216.46,DSL,Bank transfer,2,0,No,No,No,0,1,0
43,Female,63,Month-to-month,52.18,2286.46,Fiber optic,Electronic check,4,3,No,No,Yes,0,1,0
68,Male,8,Month-to-month,32.85,5363.54,DSL,Bank transfer,1,0,Yes,No,No,1,1,0
62,Female,32,Month-to-month,91.26,4162.07,DSL,Credit card,1,1,Yes,No,No,0,1,0
61,Female,45,Month-to-month,60.94,4492.59,DSL,Mailed check,1,0,No,No,No,0,3,0
22,Male,52,One year,88.12,5979.0,No,Credit card,4,1,Yes,Yes,Yes,1,1,0
43,Female,24,One year,128.96,2599.16,Fiber optic,Credit card,2,1,Yes,Yes,Yes,0,3,0
71,Female,40,One year,149.96,6191.68,DSL,Bank transfer,1,1,No,No,Yes,0,3,0
21,Male,14,Two year,61.91,4890.79,DSL,Mailed check,2,2,Yes,Yes,No,0,3,1
36,Female,70,Two year,129.5,229.82,Fiber optic,Bank transfer,3,1,No,No,No,1,5,1
37,Male,62,Two year,133.49,6065.92,DSL,Mailed check,7,3,No,Yes,Yes,0,5,0
50,Male,61,One year,149.49,5618.82,Fiber optic,Bank transfer,5,0,No,Yes,No,0,2,0
37,Female,1,Month-to-month,64.55,799.61,Fiber optic,Bank transfer,2,3,Yes,Yes,No,0,3,1
66,Male,66,One year,118.29,6752.92,Fiber optic,Credit card,0,0,Yes,No,Yes,0,1,0
29,Male,32,Two year,49.75,4746.7,Fiber optic,Electronic check,2,0,Yes,Yes,No,0,4,0
64,Male,13,Month-to-month,101.22,1922.25,DSL,Bank transfer,1,0,No,No,No,0,4,1
18,Female,33,Month-to-month,111.63,5078.27,Fiber optic,Credit card,2,0,Yes,Yes,No,0,3,0
43,Male,32,Month-to-month,116.35,5399.58,Fiber optic,Mailed check,4,2,Yes,No,Yes,0,5,0
31,Female,56,One year,46.93,8289.06,Fiber optic,Mailed check,1,0,No,No,No,0,5,0
55,Female,24,Month-to-month,130.33,6705.09,Fiber optic,Bank transfer,4,0,No,Yes,Yes,0,3,1
54,Female,4,One year,74.73,2787.13,Fiber optic,Mailed check,3,2,Yes,Yes,Yes,1,1,0
28,Male,23,One year,48.13,1151.38,No,Electronic check,3,2,No,Yes,Yes,0,1,1
53,Male,29,Two year,90.53,7693.34,Fiber optic,Credit card,0,2,Yes,No,Yes,0,5,0
30,Female,21,One year,132.24,7630.0,Fiber optic,Bank transfer,0,1,No,No,No,0,3,1
60,Female,30,Two year,145.72,1660.26,Fiber optic,Electronic check,1,2,No,No,Yes,1,2,1
20,Male,20,Month-to-month,117.27,652.97,Fiber optic,Credit card,6,2,No,Yes,Yes,0,3,1
50,Female,16,Month-to-month,20.73,6435.6,No,Credit card,0,2,Yes,Yes,No,0,3,0
23,Female,67,Month-to-month,37.51,6530.98,Fiber optic,Bank transfer,3,0,No,Yes,Yes,0,5,0
67,Male,49,Month-to-month,29.92,1676.58,Fiber optic,Mailed check,2,1,Yes,Yes,No,0,2,0
73,Female,58,Month-to-month,33.16,6047.09,Fiber optic,Credit card,2,0,No,Yes,Yes,0,2,0
27,Male,44,One year,69.79,2582.42,DSL,Credit card,1,0,Yes,Yes,Yes,1,2,0
22,Male,25,One year,64.0,2419.49,Fiber optic,Mailed check,2,0,Yes,No,No,1,1,0
40,Female,23,One year,34.78,2988.21,DSL,Mailed check,2,0,No,No,No,0,3,0
61,Male,1,Month-to-month,100.01,7259.64,Fiber optic,Bank transfer,0,1,Yes,Yes,No,0,4,0
19,Male,15,One year,123.54,4537.93,Fiber optic,Credit card,0,3,No,Yes,Yes,0,1,0
30,Female,52,Month-to-month,68.3,2752.58,DSL,Mailed check,1,1,Yes,Yes,Yes,1,5,0
57,Female,58,Month-to-month,73.33,7967.37,Fiber optic,Bank transfer,2,0,Yes,Yes,No,0,5,0
19,Female,41,Month-to-month,61.29,590.3,DSL,Bank transfer,0,3,No,No,No,0,3,0
37,Male,44,Month-to-month,77.0,7194.11,Fiber optic,Mailed check,1,0,No,No,Yes,1,2,0
18,Male,4,Month-to-month,99.35,7081.0,Fiber optic,Mailed check,2,2,Yes,Yes,No,0,4,0
54,Female,68,Month-to-month,84.09,2356.57,Fiber optic,Credit card,5,2,No,No,Yes,0,5,1
34,Male,46,One year,137.02,7884.83,DSL,Bank transfer,2,1,No,Yes,No,0,1,0
26,Female,9,Month-to-month,81.06,5073.95,No,Mailed check,3,1,Yes,Yes,No,0,3,0
28,Female,33,Month-to-month,51.17,509.5,DSL,Electronic check,2,0,Yes,No,Yes,0,2,0
32,Female,33,Two year,142.88,8028.41,Fiber optic,Credit card,3,1,Yes,No,No,0,5,1
41,Female,4,One year,115.56,3206.15,Fiber optic,Mailed check,1,0,Yes,Yes,Yes,0,5,1
55,Female,65,Month-to-month,103.22,3145.19,Fiber optic,Credit card,2,0,No,Yes,No,0,2,1
72,Male,34,Two year,116.9,5825.26,Fiber optic,Mailed check,0,1,Yes,Yes,No,0,4,1
52,Female,64,Month-to-month,29.88,5985.67,DSL,Electronic check,2,0,No,No,Yes,0,5,0
47,Female,25,Month-to-month,28.79,3244.51,No,Bank transfer,0,0,Yes,No,No,0,3,0
48,Male,55,Two year,39.91,1375.18,DSL,Bank transfer,3,1,No,Yes,Yes,0,1,0
66,Male,9,Two year,39.17,5015.2,DSL,Bank transfer,3,1,Yes,Yes,Yes,0,2,0
22,Male,17,Month-to-month,74.69,5664.09,Fiber optic,Credit card,2,0,Yes,Yes,No,0,2,1
61,Male,21,One year,40.46,7755.98,DSL,Bank transfer,5,0,Yes,Yes,No,0,2,0
67,Female,60,One year,131.09,4411.52,Fiber optic,Bank transfer,5,0,No,No,No,0,5,0
31,Female,13,Month-to-month,95.15,5846.7,Fiber optic,Credit card,3,1,Yes,Yes,No,0,4,1
70,Female,3,Month-to-month,67.87,584.24,DSL,Credit card,2,0,Yes,Yes,No,0,4,0
73,Female,68,Month-to-month,29.05,8061.25,DSL,Bank transfer,3,0,Yes,Yes,No,0,2,0
28,Male,4,Two year,96.83,3012.22,DSL,Mailed check,2,0,Yes,Yes,No,0,1,0
51,Female,26,One year,116.62,8252.86,DSL,Credit card,3,2,Yes,No,Yes,0,5,0
29,Female,24,Month-to-month,124.36,7313.68,Fiber optic,Electronic check,1,1,No,Yes,Yes,0,3,1
52,Female,10,Month-to-month,90.72,5775.56,DSL,Electronic check,3,0,No,No,No,0,2,0
52,Female,13,One year,39.45,6362.11,DSL,Credit card,2,1,No,No,No,0,3,0
18,Male,44,One year,122.29,8296.06,DSL,Electronic check,3,0,Yes,No,No,0,5,1
57,Female,39,Month-to-month,60.02,7327.63,Fiber optic,Mailed check,2,4,No,No,Yes,0,5,0
39,Male,19,Month-to-month,48.94,5527.75,Fiber optic,Bank transfer,2,2,No,Yes,Yes,0,2,1
46,Male,51,One year,81.17,5962.45,No,Mailed check,2,1,No,No,No,1,5,0
25,Male,19,Month-to-month,139.94,1410.69,Fiber optic,Electronic check,6,3,Yes,Yes,Yes,0,3,1
28,Male,52,Month-to-month,58.66,4284.49,DSL,Bank transfer,3,2,No,Yes,No,0,4,0
58,Female,47,One year,137.73,2778.88,DSL,Credit card,4,0,No,No,No,0,4,0
54,Female,30,Month-to-month,26.97,3944.54,DSL,Mailed check,2,3,No,No,Yes,0,1,0
31,Female,46,Month-to-month,30.86,5994.0,Fiber optic,Bank transfer,2,0,Yes,No,Yes,0,2,0
47,Female,21,Month-to-month,110.81,1427.44,Fiber optic,Credit card,1,2,No,Yes,No,0,5,1
52,Male,48,Two year,44.78,254.65,DSL,Mailed check,0,1,Yes,Yes,No,0,5,0
38,Male,62,Month-to-month,61.16,3632.63,Fiber optic,Mailed check,3,0,Yes,No,Yes,0,3,0
54,Male,58,One year,37.73,2967.44,No,Mailed check,0,0,Yes,No,No,0,1,0
22,Female,18,Month-to-month,63.19,3841.85,No,Mailed check,2,0,Yes,Yes,Yes,1,1,0
36,Male,59,Month-to-month,56.46,8387.87,DSL,Electronic check,6,2,Yes,Yes,Yes,0,3,0
43,Male,63,Month-to-month,111.26,3014.38,DSL,Bank transfer,3,1,No,No,No,0,3,0
21,Male,12,Two year,144.14,1695.58,Fiber optic,Credit card,2,2,No,No,Yes,0,5,0
42,Female,34,Month-to-month,114.17,5604.46,Fiber optic,Electronic check,6,1,No,Yes,Yes,1,5,1
62,Male,61,One year,110.33,5952.43,No,Electronic check,4,2,Yes,Yes,Yes,0,4,0
59,Male,53,Month-to-month,110.25,4404.24,DSL,Bank transfer,5,2,No,No,Yes,0,1,1
42,Female,25,Month-to-month,134.79,1993.57,Fiber optic,Bank transfer,1,0,Yes,No,Yes,0,4,0
35,Female,62,Month-to-month,58.51,354.14,Fiber optic,Credit card,1,2,No,Yes,Yes,0,2,0
25,Male,13,Two year,116.36,4168.82,DSL,Bank transfer,2,2,Yes,No,No,1,1,1
57,Male,49,Month-to-month,138.56,7698.41,Fiber optic,Bank transfer,1,1,Yes,No,Yes,0,1,0
31,Male,56,One year,89.52,3775.12,No,Electronic check,1,1,Yes,Yes,No,0,2,1
49,Female,47,Month-to-month,59.02,7185.5,Fiber optic,Electronic check,3,1,No,Yes,Yes,0,2,0
55,Male,55,Two year,60.6,6477.83,Fiber optic,Mailed check,2,2,No,Yes,Yes,0,4,0
50,Female,18,Month-to-month,145.23,6584.53,DSL,Mailed check,1,0,Yes,Yes,No,0,4,1
40,Female,35,Month-to-month,147.79,8194.87,Fiber optic,Mailed check,3,1,No,No,Yes,0,4,0
32,Female,32,One year,106.68,3109.48,No,Bank transfer,1,0,No,No,No,0,4,0
50,Male,24,One year,34.77,199.73,Fiber optic,Credit card,0,3,Yes,No,No,0,4,0
42,Male,7,Month-to-month,54.22,8884.1,DSL,Electronic check,2,2,No,Yes,No,1,2,1
34,Male,13,Two year,87.0,4465.17,Fiber optic,Credit card,2,0,Yes,No,Yes,1,3,0
50,Male,69,One year,130.69,7092.53,No,Electronic check,3,1,No,No,Yes,0,4,0
64,Male,42,Month-to-month,44.04,7331.17,DSL,Bank transfer,2,1,Yes,Yes,Yes,0,2,0
72,Female,31,Month-to-month,33.57,3637.9,Fiber optic,Bank transfer,2,1,Yes,Yes,Yes,1,2,1
19,Female,26,One year,29.68,4917.33,Fiber optic,Mailed check,3,0,Yes,Yes,Yes,0,4,0
31,Male,32,Month-to-month,85.91,4905.25,Fiber optic,Bank transfer,2,0,Yes,No,Yes,0,2,0
70,Male,52,Month-to-month,135.01,2059.92,Fiber optic,Electronic check,2,3,Yes,No,No,0,5,0
57,Male,20,One year,25.51,1146.99,No,Mailed check,0,0,Yes,Yes,No,0,1,0
57,Male,40,One year,47.6,4937.79,DSL,Bank transfer,1,1,Yes,Yes,No,0,2,0
68,Male,59,One year,110.12,1169.27,DSL,Bank transfer,1,1,Yes,No,Yes,0,4,0
56,Female,14,Month-to-month,127.36,3180.19,DSL,Bank transfer,0,0,No,No,No,0,5,1
68,Female,44,One year,124.96,1756.14,DSL,Credit card,4,0,No,No,No,0,3,0
23,Female,48,Two year,122.06,6391.55,Fiber optic,Bank transfer,1,1,No,No,Yes,0,5,0
20,Male,16,One year,71.64,5243.44,Fiber optic,Mailed check,2,2,Yes,Yes,Yes,0,2,0
24,Female,35,Two year,148.02,3750.39,Fiber optic,Credit card,2,2,No,No,No,1,1,0
68,Female,53,One year,148.56,8970.12,Fiber optic,Electronic check,4,1,Yes,No,Yes,0,2,0
59,Female,3,Month-to-month,112.2,2808.64,DSL,Mailed check,2,1,No,Yes,Yes,1,1,0
69,Female,68,Month-to-month,143.67,2580.19,DSL,Electronic check,2,1,Yes,No,Yes,0,2,0
32,Male,5,One year,78.49,3270.21,DSL,Bank transfer,2,1,No,No,Yes,0,5,0
64,Female,10,One year,37.79,2152.3,DSL,Credit card,1,1,Yes,No,Yes,0,5,0
46,Female,52,Two year,106.96,2451.94,DSL,Electronic check,1,0,No,Yes,Yes,0,2,0
50,Female,29,Month-to-month,144.81,2393.33,Fiber optic,Credit card,2,0,Yes,No,No,0,5,0
69,Male,31,Month-to-month,110.64,4601.12,DSL,Bank transfer,4,0,Yes,Yes,No,1,5,1
47,Female,66,Month-to-month,124.43,3580.39,DSL,Electronic check,3,1,Yes,No,Yes,0,4,1
56,Female,69,One year,74.96,5789.59,DSL,Bank transfer,2,0,No,No,Yes,0,1,1
44,Female,37,Month-to-month,32.54,4678.17,No,Electronic check,0,2,No,Yes,Yes,0,5,1
53,Male,27,One year,41.95,1732.45,DSL,Bank transfer,1,0,No,Yes,No,0,3,0
46,Male,33,Month-to-month,147.75,7309.4,DSL,Credit card,5,1,Yes,No,No,0,4,0
55,Female,68,Month-to-month,84.11,4302.54,Fiber optic,Mailed check,1,0,No,Yes,No,0,3,0
74,Male,59,Month-to-month,21.56,1463.76,Fiber optic,Credit card,0,1,Yes,Yes,Yes,0,5,0
50,Female,64,Two year,144.2,1585.23,Fiber optic,Mailed check,0,1,Yes,Yes,No,0,3,0
44,Male,49,Two year,128.71,6356.64,Fiber optic,Bank transfer,3,0,No,No,No,0,2,0
50,Female,49,Month-to-month,33.22,2824.13,DSL,Credit card,0,2,Yes,No,No,0,3,0
21,Female,66,Month-to-month,100.02,4198.65,DSL,Mailed check,1,1,Yes,Yes,Yes,0,4,0
39,Male,63,Two year,149.66,5764.7,No,Mailed check,1,0,No,No,No,0,1,0
19,Female,25,One year,24.52,7925.61,Fiber optic,Electronic check,2,3,Yes,Yes,Yes,0,1,0
27,Male,4,Month-to-month,129.43,5047.22,Fiber optic,Bank transfer,3,2,No,Yes,Yes,1,4,1
22,Male,51,One year,50.61,2562.94,DSL,Mailed check,0,2,No,Yes,Yes,0,5,1
27,Female,11,Month-to-month,71.2,480.39,Fiber optic,Mailed check,2,2,No,Yes,No,1,4,0
50,Male,17,Month-to-month,68.45,1661.55,DSL,Bank transfer,4,2,No,Yes,Yes,0,5,0
71,Female,66,Month-to-month,136.84,5886.58,DSL,Credit card,3,2,Yes,Yes,No,1,3,0
55,Male,70,Two year,85.58,1527.89,Fiber optic,Bank transfer,0,1,Yes,No,No,0,1,0
30,Female,69,Month-to-month,78.13,4385.7,Fiber optic,Mailed check,2,0,No,No,No,0,5,0
48,Male,29,Month-to-month,126.34,6320.7,No,Credit card,4,2,Yes,No,Yes,0,5,1
53,Female,20,Month-to-month,31.24,6055.04,Fiber optic,Bank transfer,0,0,No,Yes,No,0,4,1
41,Female,8,Month-to-month,109.44,4006.56,Fiber optic,Credit card,1,2,No,Yes,Yes,0,3,1
73,Male,28,Two year,133.88,6259.32,Fiber optic,Credit card,1,0,Yes,No,Yes,1,1,1
32,Male,70,Month-to-month,84.81,3309.31,DSL,Bank transfer,3,1,Yes,Yes,Yes,0,3,0
46,Female,3,Month-to-month,48.84,7257.95,Fiber optic,Credit card,3,0,Yes,No,Yes,1,1,0
25,Female,69,Month-to-month,124.67,6669.11,Fiber optic,Credit card,0,1,Yes,Yes,Yes,0,3,0
22,Female,7,One year,58.26,7145.99,Fiber optic,Electronic check,1,0,Yes,Yes,Yes,1,3,0
46,Female,60,Two year,141.64,5804.51,Fiber optic,Mailed check,1,1,Yes,No,Yes,0,2,0
64,Female,4,Month-to-month,52.56,3476.4,Fiber optic,Credit card,2,0,No,No,No,0,1,1
21,Male,5,Two year,41.8,3202.35,Fiber optic,Bank transfer,1,3,No,Yes,Yes,0,2,1
29,Male,11,One year,84.13,5921.95,Fiber optic,Credit card,0,2,Yes,Yes,Yes,0,1,0
62,Female,15,One year,26.57,1265.01,No,Mailed check,2,0,Yes,Yes,No,0,1,1
19,Male,64,Month-to-month,24.73,7397.24,DSL,Mailed check,4,1,Yes,No,No,0,2,0
44,Male,13,Month-to-month,84.48,3395.98,DSL,Bank transfer,3,3,No,No,No,0,1,0
48,Male,7,One year,47.96,5710.31,Fiber optic,Mailed check,3,0,Yes,No,Yes,0,2,0
68,Male,6,Two year,21.22,4541.67,DSL,Bank transfer,2,1,No,Yes,No,1,5,0
68,Female,56,One year,58.49,4722.01,Fiber optic,Mailed check,3,2,No,No,Yes,0,2,0
53,Male,64,Month-to-month,82.06,6668.25,DSL,Credit card,3,1,Yes,Yes,Yes,0,3,0
53,Female,50,Month-to-month,71.26,5677.36,No,Bank transfer,2,1,No,Yes,No,0,1,0
43,Female,30,One year,37.61,2327.75,Fiber optic,Mailed check,1,0,No,No,No,0,3,0
60,Male,22,One year,95.36,760.61,Fiber optic,Electronic check,1,3,Yes,No,No,0,3,0
44,Female,25,Month-to-month,112.34,7578.08,Fiber optic,Electronic check,2,1,Yes,No,No,1,1,0
22,Male,28,Month-to-month,107.82,7975.56,DSL,Bank transfer,1,1,No,No,Yes,0,1,0
37,Male,39,Month-to-month,71.19,1564.02,No,Electronic check,3,2,Yes,Yes,No,0,1,0
28,Male,67,One year,37.89,2854.35,Fiber optic,Credit card,2,1,No,Yes,No,1,1,0
27,Female,5,One year,84.93,2612.85,DSL,Credit card,2,1,No,Yes,No,1,1,0
57,Female,65,Two year,135.76,8443.29,Fiber optic,Mailed check,2,1,No,Yes,No,0,4,0
55,Female,15,One year,80.93,1922.52,Fiber optic,Credit card,2,5,No,No,No,0,1,0
23,Male,67,Month-to-month,45.44,1582.2,Fiber optic,Bank transfer,1,2,Yes,Yes,No,0,1,0
25,Male,40,One year,32.1,1718.36,No,Credit card,0,2,Yes,No,No,0,5,0
40,Male,69,Two year,142.71,6595.84,No,Mailed check,0,0,Yes,No,No,0,1,0
64,Female,43,Two year,116.59,8003.38,No,Credit card,1,2,Yes,No,No,0,5,0
43,Male,1,Two year,60.69,3600.97,Fiber optic,Mailed check,2,4,No,Yes,No,0,5,1
63,Male,22,Month-to-month,58.4,1311.11,Fiber optic,Bank transfer,3,1,No,No,No,0,1,1
60,Female,62,One year,136.38,5312.93,DSL,Electronic check,1,0,Yes,No,Yes,0,4,0
29,Female,26,Two year,43.08,1968.42,Fiber optic,Credit card,1,0,No,Yes,Yes,0,4,0
43,Female,18,One year,89.55,670.95,DSL,Mailed check,1,1,No,Yes,Yes,0,5,0
30,Male,48,Month-to-month,112.76,7987.46,Fiber optic,Bank transfer,2,0,No,Yes,Yes,1,3,0
57,Male,9,Two year,71.53,7850.49,No,Electronic check,3,1,No,Yes,Yes,0,1,0
35,Male,1,Month-to-month,25.19,8785.6,Fiber optic,Electronic check,1,1,Yes,No,Yes,0,1,1
42,Female,9,Month-to-month,49.61,4318.64,No,Electronic check,2,0,Yes,No,No,0,1,0
50,Female,23,Month-to-month,137.24,2716.61,Fiber optic,Credit card,4,1,Yes,No,Yes,0,3,1
64,Female,45,One year,88.01,6951.08,DSL,Electronic check,1,3,No,Yes,No,0,4,0
57,Female,2,Month-to-month,126.01,1706.4,No,Electronic check,2,1,No,No,Yes,0,1,1
60,Male,14,Month-to-month,92.24,2265.3,Fiber optic,Electronic check,2,1,No,No,No,0,2,1
29,Male,38,One year,142.67,2375.58,No,Credit card,3,1,No,No,No,0,2,0
61,Male,40,One year,138.19,8569.41,Fiber optic,Bank transfer,2,0,Yes,Yes,Yes,0,3,0
53,Male,63,One year,82.78,6595.42,No,Electronic check,0,0,Yes,Yes,No,0,2,0
65,Male,16,Month-to-month,61.38,1289.88,Fiber optic,Bank transfer,1,2,No,Yes,No,0,1,0
21,Male,6,One year,98.22,926.33,Fiber optic,Electronic check,0,2,Yes,Yes,No,0,5,0
73,Male,14,Month-to-month,84.79,7240.24,No,Credit card,0,0,Yes,No,No,1,4,0
54,Female,66,Month-to-month,126.9,6071.85,DSL,Electronic check,5,0,No,Yes,Yes,1,4,0
25,Female,67,Two year,43.83,1845.3,DSL,Mailed check,1,0,No,Yes,No,0,3,0
59,Male,31,Month-to-month,63.47,4374.52,Fiber optic,Electronic check,1,1,No,No,Yes,0,3,0
66,Female,33,Month-to-month,109.23,5464.26,Fiber optic,Bank transfer,3,0,Yes,No,Yes,0,1,1
48,Male,44,Month-to-month,77.18,1607.87,DSL,Credit card,2,0,Yes,Yes,No,0,1,0
75,Female,15,Two year,145.29,4687.48,Fiber optic,Mailed check,4,3,Yes,No,Yes,0,5,1
26,Male,37,Two year,101.36,1503.99,Fiber optic,Mailed check,2,1,No,Yes,Yes,0,1,0
68,Male,48,Month-to-month,113.92,1881.2,Fiber optic,Mailed check,2,1,Yes,No,No,1,5,0
46,Male,27,Month-to-month,114.21,7542.06,Fiber optic,Mailed check,4,2,No,No,Yes,0,3,1
57,Male,67,Month-to-month,38.49,3812.23,No,Mailed check,0,0,Yes,Yes,Yes,0,2,0
58,Male,30,Month-to-month,87.56,3729.31,DSL,Bank transfer,2,3,Yes,No,No,0,2,0
39,Female,66,Month-to-month,52.85,7810.03,DSL,Bank transfer,2,1,No,Yes,Yes,0,1,1
28,Female,7,Month-to-month,149.83,6844.4,DSL,Bank transfer,2,1,Yes,No,No,0,5,0
40,Male,34,Month-to-month,54.71,612.42,Fiber optic,Credit card,1,3,Yes,No,Yes,0,1,1
18,Female,32,Month-to-month,49.99,697.08,Fiber optic,Mailed check,0,0,Yes,Yes,No,0,3,0
63,Male,39,Month-to-month,101.1,5005.66,Fiber optic,Electronic check,2,2,Yes,No,Yes,0,2,1
54,Male,43,Month-to-month,86.42,3906.7,Fiber optic,Credit card,4,1,Yes,No,No,1,2,0
43,Male,3,Month-to-month,36.84,7154.33,DSL,Mailed check,2,2,Yes,Yes,Yes,1,2,0
63,Female,46,Month-to-month,125.44,1244.85,Fiber optic,Mailed check,1,1,Yes,Yes,No,1,1,0
53,Female,32,Two year,82.88,8769.11,DSL,Electronic check,3,0,No,No,Yes,0,4,1
71,Female,43,Two year,38.98,314.51,Fiber optic,Bank transfer,2,0,No,Yes,Yes,0,1,0
40,Female,3,Month-to-month,80.48,1152.25,Fiber optic,Mailed check,2,0,Yes,No,Yes,0,4,0
74,Male,63,One year,52.91,2870.72,Fiber optic,Electronic check,4,0,No,No,No,0,4,0
18,Female,40,Month-to-month,49.07,4631.43,DSL,Credit card,1,1,No,No,No,0,4,1
71,Male,18,One year,144.5,2023.61,Fiber optic,Electronic check,0,0,No,Yes,No,0,1,0
72,Male,67,Two year,67.06,6652.31,Fiber optic,Credit card,3,3,Yes,Yes,Yes,0,3,0
68,Female,62,Month-to-month,26.04,3282.12,DSL,Credit card,1,1,No,Yes,Yes,0,2,0
57,Male,10,Month-to-month,146.14,442.99,Fiber optic,Mailed check,2,0,Yes,Yes,Yes,0,1,0
32,Female,52,Month-to-month,123.33,7911.73,DSL,Credit card,2,0,Yes,Yes,No,0,4,0
38,Female,46,One year,53.07,8500.4,Fiber optic,Mailed check,2,1,Yes,No,Yes,0,1,0
64,Female,55,One year,73.16,5605.22,Fiber optic,Electronic check,2,1,No,Yes,No,0,5,0
26,Female,46,One year,132.1,7278.17,Fiber optic,Bank transfer,3,0,No,Yes,Yes,0,5,1
70,Female,60,Month-to-month,66.46,1177.89,Fiber optic,Credit card,1,1,No,Yes,Yes,0,1,0
26,Male,26,Month-to-month,93.76,2492.5,DSL,Mailed check,0,4,Yes,Yes,Yes,0,4,0
27,Female,27,One year,89.53,2994.56,DSL,Bank transfer,3,2,Yes,Yes,No,0,2,0
69,Female,38,Month-to-month,72.17,8650.7,DSL,Credit card,1,2,Yes,No,Yes,0,2,0
74,Male,22,Month-to-month,103.14,4658.78,DSL,Electronic check,2,1,No,No,No,0,5,0
70,Female,26,Month-to-month,81.53,165.98,Fiber optic,Credit card,2,1,Yes,No,No,0,4,1
43,Female,69,One year,22.76,3483.65,Fiber optic,Electronic check,2,3,No,Yes,Yes,0,1,0
58,Male,35,One year,125.87,168.98,Fiber optic,Electronic check,2,0,Yes,No,Yes,0,5,0
52,Male,66,Two year,34.71,2216.47,Fiber optic,Electronic check,1,2,No,Yes,No,1,2,0
69,Female,51,Month-to-month,80.33,4146.83,Fiber optic,Electronic check,4,1,Yes,No,No,0,1,0
42,Male,18,Two year,95.39,2978.2,Fiber optic,Mailed check,2,3,Yes,No,Yes,0,2,1
43,Female,43,One year,111.72,391.33,DSL,Mailed check,2,1,No,No,No,0,4,0
28,Male,12,Month-to-month,73.4,1135.39,Fiber optic,Mailed check,1,4,No,Yes,Yes,0,5,1
55,Female,3,Month-to-month,115.62,5002.89,DSL,Bank transfer,3,1,Yes,No,Yes,1,3,1
19,Female,7,Month-to-month,37.08,6290.88,Fiber optic,Electronic check,5,2,Yes,Yes,Yes,0,4,1
24,Female,6,Two year,104.95,3700.49,Fiber optic,Credit card,1,2,Yes,Yes,Yes,1,5,1
35,Male,45,Month-to-month,127.42,6610.19,Fiber optic,Bank transfer,0,0,Yes,No,No,1,3,0
44,Female,39,Month-to-month,135.63,1553.66,DSL,Bank transfer,2,3,Yes,Yes,Yes,1,4,0
51,Male,51,Month-to-month,95.34,1186.32,No,Bank transfer,2,2,Yes,Yes,No,1,4,0
44,Female,9,Two year,60.68,7571.14,DSL,Bank transfer,3,0,No,No,Yes,1,1,1
60,Female,12,Month-to-month,64.92,3947.01,Fiber optic,Electronic check,0,2,No,Yes,Yes,0,1,0
61,Female,62,Month-to-month,90.2,8533.48,Fiber optic,Credit card,4,1,Yes,No,Yes,0,1,0
68,Female,40,Month-to-month,45.52,3874.6,DSL,Electronic check,2,3,No,No,Yes,1,5,0
71,Male,54,Month-to-month,143.83,131.06,No,Bank transfer,1,1,Yes,No,No,0,2,0
41,Male,7,Month-to-month,136.63,8447.95,Fiber optic,Bank transfer,0,0,Yes,No,Yes,1,3,0
42,Male,17,Two year,24.28,225.66,DSL,Mailed check,2,4,Yes,No,Yes,0,5,0
69,Female,24,One year,122.61,2973.73,Fiber optic,Bank transfer,4,0,No,Yes,No,0,1,0
23,Male,2,Month-to-month,51.9,4286.48,DSL,Bank transfer,3,0,No,No,No,0,2,1
70,Female,33,One year,88.11,4970.84,DSL,Electronic check,2,0,Yes,Yes,Yes,0,2,0
41,Female,21,Month-to-month,72.78,3735.29,DSL,Bank transfer,2,0,No,Yes,No,0,5,0
50,Female,53,Month-to-month,45.55,6991.88,DSL,Electronic check,1,2,No,No,No,0,5,0
66,Male,46,Two year,99.92,8383.29,DSL,Bank transfer,0,0,Yes,No,Yes,0,1,1
46,Male,45,Two year,149.18,869.07,DSL,Credit card,3,1,No,Yes,Yes,0,2,0
60,Male,9,One year,67.49,7222.25,DSL,Bank transfer,3,1,No,No,No,0,4,0
39,Male,6,Two year,91.81,1245.17,DSL,Electronic check,3,1,Yes,No,No,0,5,0
43,Male,51,Two year,62.62,814.47,No,Electronic check,1,1,Yes,Yes,Yes,1,4,0
67,Female,53,One year,132.4,4454.75,Fiber optic,Electronic check,2,2,No,No,Yes,0,1,0
38,Female,19,One year,43.24,1458.17,Fiber optic,Mailed check,3,2,Yes,Yes,No,0,2,0
66,Female,69,Month-to-month,136.99,5172.62,DSL,Credit card,1,1,No,Yes,Yes,0,1,0
24,Male,25,Month-to-month,39.7,2442.81,No,Bank transfer,1,1,No,No,No,0,1,0
34,Male,11,One year,32.41,4232.35,Fiber optic,Bank transfer,2,0,No,Yes,No,1,5,0
37,Female,17,Month-to-month,104.88,5659.47,Fiber optic,Bank transfer,2,2,Yes,No,No,0,3,0
66,Female,21,Month-to-month,89.0,127.42,Fiber optic,Bank transfer,5,0,Yes,No,No,0,5,1
